Level	Description	Optional Name
1	Weak, minimum human	Doddering, Feeble, Weak
2	Below-average human	Inadequate, Inferior, Poor
3	Average human	Average, Mediocre, Typical
4	Above-average human	Accomplished, Competent, Good
5	Exceptional human	Excellent, Exceptional, Great
6	Ideal or maximum human 	Extraordinary, Remarkable, Superb
7	Low superhuman	Fantastic, Incredible, Wonderful
8	Superhuman	Amazing, Astounding, Legendary
9	High superhuman	Colossal, Inhuman, Monumental
10	Cosmic or maximum superhuman	Astonishing, Cosmic, Marvelous
